response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
"Did he say ""three for three""?","I never forget a kid.  What do you say, Vindicators? Let's make this three for three?",Vance,"Whoa, yeah!",Morty,"Rick Sanchez, Tinkerer of Terror. Man, that's hard to say. And... Morty, right?",Vance,"Uh, I was also late because of my drinking and metioned it to zero applause.",Rick,Happy hour.,Morty,Sorry I'm late. It was happy hour.,Vance,"Vance Maximus, Renegade Star Soldier!",Morty
"I'm sorry. No, no.","Ooh, oh! Oh, man.",Morty,"Whoa, whoa, Morty, the trick to incepting is making people think they came up with the idea. Listen to me. If we're gonna incept Mrs. Pancakes, we have to blend. I'll talk to you after lunch.",Rick,"Okay. All right, well Look, Mrs. Pancakes is right over there. I'll just go ask her to tell goldenfold not to kill us when she wakes up.",Morty,"Don't judge, Morty.",Rick,"Oh, man, Rick, this is pretty weird.",Morty,"All right, let's go.",Rick,You don't know m-,Mrs. Pancakes
"You always put it in the weirdest place! Um, uh, over here, maybe?",Where the fuck is the lead wire?!,Rick,That's a three-pointer!,Drunk Rick,"Sure, but were we married when you two were ""stranded"" on Delphi 6 for three days? Because I sensed something was weird when you can back. But what do I know about sensitivity? I'm just a phantom train conductor. You're the pile of ordinary bugs that fucked my wife!",Alan,"We aren't married anymore, Alan.",Supernova,"I mean, really unspoken. Like, ""let's-not-tell-my-husband"" unspoken.",Alan,But you guys have always had a... an unspoken bond.,Alan,That's a three-pointer!,Drunk Rick
"Oh, my God! He's trying to tell us something.  That is so awesome.",Ooowwwwowowwaawaa!,Snuffles,"You said the same thing, equally sarcastically, at our wedding and guess what?",Jerry,This is what I'm talking about. This is a dog.,Jerry,"Now, be my footstool, Snuffles.",Summer,Now bring me my slippers.,Jerry,"Don't be a baby! You avoid getting shot in real life all the time, Morty. Just do the same thing here, and we'll be fine!",Rick,What?! Are you kidding me?! Ohhhhhh!,Morty
What happened?,Go to the car and grab a MediPack. Lemme worry about this.,Cop Morty,"Boy, I got us knee-deep in paperwork, huh?",Cop Rick,Just somethin’ they do to make you feel bad.,Cop Morty,Why is there a crib in here?,Cop Rick,It doesn’t matter.  Nothing’s wrong with putting your faith in a Morty. You just gotta pick the right one.,Cop Morty,You were right…  Everything I learned in the academy was--,Cop Rick,"Shh, it’s okay, you’re okay.",Cop Morty
When'd you make the leap to interdimensional travel?,Me. I used to wear blue pants.,Rick,Is that--,Cornvelious Daniel,"Okay. All right, all right.",Rick,"Rick, you're doing this bit while your brain is melting.",Cornvelious Daniel,"Yeah, I'd like to get a 10-piece McNugget and a bunch of the Szechuan sauce. Like, as much as you're allowed to give me. In 1998, they had this promotion for the Disney film ""Mulan,"" where they -- where they -- they created a new sauce for the McNuggets called Szechuan sauce, and it's delicious! And then they got rid of it, and now it's gone. This is the only place we're gonna be able to try it, is in my memory.",Rick,To the day it all began and ended. The moment that changed everything.,Rick,Where are we going?,Cornvelious Daniel
Close. It's gonna make your kidneys shut down.,"Are these pills supposed to wake me up, or something?",Morty,"Look, d-d-d-don't worry about it, Morty. Here, here take these, Morty. Take these.",Rick,"Aw, man, geez! Seriously?",Morty,"No, no, that happened before you went to sleep, Morty. You're sleeping in your crap right now. Out of all the things that happened to you, that was the only real thing that, you know, is that you crapped your pants. I mean, it's a mess out there. I got some on my hands, Morty, and then I got it on the dream inceptor, and a piece fell in my mouth.",Rick,"Aw, man. I really liked this life. Well, at least I didn't really crap my pants.",Morty,"It's been six hours. Dreams move one one-hundredth the speed of reality, and dog time is one-seventh human time. So, you know, every day here is like a minute. It's like ""Inception,"" Morty, so if it's confusing and stupid, then so is everyone's favorite movie.",Rick,But I-it's been like a whole year!,Morty
Rick!,My balls.,Rick,"..and this time, he's out to end more than worlds. We have reason to believe his stronghold is located on...",Supernova,"Vindicators, Worldender is back...",Supernova,"Whoops! Uh, Morty, you might want to freeze some sperm.",Rick,"Yes!  Vindicator command ship, beacon received! We're doing Vindicators Twoooooooooo!",Morty,God... fuckin' dammit!  Fine! But don't say I didn't warn you.,Rick,"I, Morty Smith, invoke my right to choose one in every ten Rick and Morty adventures.  Read 'em and weep.",Morty
WHAT?!,You wish this was about sex! We loved each other! We had a child together.,Supernova,"Guys, stop! You're just proving my asshole grandpa right!",Morty,That's a three-pointer!,Drunk Rick,"Did it feel good?! Did you like his six million wriggling legs more than my tragedy-stricken, half-ghost, half-tumescent penis?!",Alan,YES! Is that what you want to hear?!,Supernova,Holy shit. You're jealous.,Morty,"I know. Everyone wants people they like to be right. That's why popular people are fucking dumb. And why your pretentious, poorly-written, high-budget friends back there can a eat a double-decker shit sandwich.  Disarmed.",Rick
Jaguar was an animal. You're an intelligent pickle. We can do business.,"Huh, so you're a liar.",Pickle Rick,Jaguar's daughter is dead.,Agency Director,"Take that money, give it to Jaguar's daughter when you set her free. Or I'll be visiting you.",Pickle Rick,"Shut up and call me a helicopter, you prick! Do we have a deal?!",Agency Director,"Pickle Man, there's $100 million worth of bonds in a safe on level two. I'll give you the combination.",Agency Director,"No, thanks. I'm coming for you now.",Pickle Rick,"Do it. Okay, you win, Pickle Man. I'm unsealing the building.",Agency Director
A portal to the Blender Dimension?! That's the oldest trick in the book! I'm a Rick! I'm more Rick than any of you!!,"A bad place, but you're going to a better one soon.",Rick J-22,Same old story. Ricks killing Mortys.,Cop Rick,"Oh, Grandpa Rick! I don't wanna be on the Citadel anymore! I want to be a regular kid! I want to go to school and throw balls around and masturbate!",Cop Morty,"You told me to put my faith in the right Morty. I got faith in you, partner. Do the right thing.",Cop Rick,"If you do, I'll talk.",Cop Rick,"If we don't kill him, he'll talk!",Cop Morty,That's enough!,Cop Rick
Scaring you?,"Okay, Snowball, just calm down, okay? You're scaring me.",Summer,"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Snuffles,Do not call me that!,Snuffles,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?",Snuffles,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Rick,Ohhhh!,Morty,"Nothing but fear from here on out, bitch!",Scary Terry
"Ah, who cares?","Rick, Supernova's getting away!",Morty,"Look at that. Geez, I must've planned a whole party. Invited a bunch of people. Not bad, Drunk Rick, not bad.",Rick,"Let's give a huge thanks to Rick Sanchez for killing Worldender, putting this awesome party together, and for booking one of the hottest talents out there",Announcer,Silence! I'm going to enjoy this...,Supernova,Damn! She double-crossed Snuzzles!,Rick,"Goodbye, my love.",Supernova,You were always the romantic.  Which is why you can't leave either.,Supernova
"I don't know, Rick. I can't leave school again.","It's pretty obvious, Morty. I froze him. Now listen I need your help, Morty. I mean, we got we got to get get the hell out of here and go take care of business.  It's important. Come on, Morty.",Rick,"Oh, geez, Rick. W-w-what'd you do to Frank?",Morty,"There you are, Morty. Listen to me. I got an errand to run in a whole different dimension. I need an extra pair of hands.",Rick,"Oh, geez, Frank. I don't know if a knife is necessary. I mean, you know, y-you kind of had things handled without it.",Morty,"Uh, morning, Frank.",Morty,Not my fault this is happening.,Mr. Goldenfold,Je-Jessica. Jessica.,Morty
"Uh, that's flattering... and a little weird.",You know what I named these? My little Morties.,Jessica,Wow. Th-they're both great. Thank you!,Morty,Can I show these to you?,Jessica,"Whoa! Hi, Jessica.",Morty,"Hi, Morty.",Jessica,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3",Mr. Goldenfold,"Okay, good. It's time for the quiz.",Mr. Goldenfold
"Only in self defense, myself tried to kill me first! Guys, I don't expect you to understand this, but time breaking twice means our problem is two times bigger and we've got half as much time to solve it. Well actually, I do expect you to understand that, it's basic math. C-could someone just let me out of here? If I die in a cage I lose a bet.",You tried to kill yourself!,All Summers,"We put you in a dog crate because you were acting crazy, and you caused another time fracture.",All Mortys,"Oh God, my head. What did you guys do?",All Ricks,I think I'm certain we're F'd in the A.,All Mortys,Right...,All Summers,"Okay... so from now on, whatever we do we have to be certain.",All Mortys,Right.,All Summers
Because my epidermis is laced with a nanofiber defense mesh.,Give me one good reason why I shouldn't crush your windpipe!,Alan,"Okay, this... this is triggering me. I need space. I-I need SPACE! FROM THIS!",Vance,"Okay, ouch, but...",Morty,"Oh, so you're the leader now because we gave you a jacket?! You're the learning-disabled kid we do photo-ops with!",Vance,"Vance, stay calm...",Morty,"Like cool drinking! Like sexy drinking, not this psycho trailer-park shit!",Vance,"What part of ""blackout"" don't you understand? I thought you drank?",Rick
"Bring the boy to me. You were always kind to me, Morty. That's why I will leave you with your testicles. From now on, you will be my best friend and live by my side.","Ooh, great plan, Jerry.",Rick,Bad person. Bad.,Snuffles,"Wait a minute. I have an idea. Gentlemen, a moment of your time.  See that? I'm peeing all over your special guns. That means I own them.",Jerry,"It's all over, Jerry. The dogs are on a path to total world domination. But, hey, at least they know not to piss on your carpet, right?",Rick,"Whoa, whoa, whoa. We're not going anywhere. This is my house. I'm not abandoning it.",Jerry,If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,Rick,- Dad! - Rick!,Morty
"Aw, man!",Ha-ha!,Summer,"Listen, Rick, if you're gonna stay here rent-free and use my son for your stupid science, the least you could do is put a little bit of it to use for the family. You make that dog smart or Morty's grounded!",Jerry,"I thought the whole point of having a dog was to feel superior, Jerry. If I were you, I wouldn't pull that thread. Come on, Morty.",Rick,"Hey, wait, hold on a second, Rick. You wouldn't by any chance have some sort of crazy science thing you could whip up that might help make this dog a little smarter, would you?",Jerry,"Morty, come on. I need your help tonight.",Rick,"Don't praise him now, Morty! He just peed on the carpet! Bad dog! Bad!",Jerry,"Oh, he he didn't mean it, dad. Did you, snuffles? You're a good boy.",Morty
"Uh, morning, Frank.",Not my fault this is happening.,Mr. Goldenfold,Je-Jessica. Jessica.,Morty,"Five more minutes of this, and I'm gonna get mad.",Mr. Goldenfold,Jessica.,Morty,Morty!,Mr. Goldenfold,"Ah, Jessica.",Morty,Morty! What are you doing to me?!,Mr. Goldenfold
"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Huh?,Morty,The little girl!,Rick,"Oh, man, oh, man, oh, man!",Morty,"Holy crap! We have to escape into someone else's dreams, Morty!",Rick,"Aw! Oh, my God! He recognizes the other dogs on TV.",Summer,I don't know. It's Indian giving.,Summer,Why not?,Jerry
I could've just used a ghost train.,"Hey, I can't help if I can't see.",Rick,RICK!,Supernova,"Uh, my God, that's better.",Rick,Uh-huh.,Rick,"Rick, we're taking fire from an automated turret. Can you bring it offline?",Supernova,Barely.,Rick,"Rick, you're up.",Supernova
"Aw, geez, dad. Y-you know, that's a lot to drop on a kid all at once.","Well, duh doy, son. Look, I love you, Morty, but we both know you're not as fast as the other kids, and if you want to compete in this world, you got to work twice as hard.",Jerry,I do?,Morty,"Oh, for crying out—he's got some kind of disability or something. Is that what you want us to say?",Jerry,I-I-I don't know what you mean by that. Can can can you be a little bit more specific?,Rick,"Oh, don't high-road us, dad. You know fully well that Morty is the last child that needs to be missing classes.",Beth,What are you trying to say about Morty? That he's stupid or something?,Rick,"Morty, stay out of this. You are obviously not capable of judging these situations on your own.",Jerry
Jessica.,Morty!,Mr. Goldenfold,"Ah, Jessica.",Morty,Morty! What are you doing to me?!,Mr. Goldenfold,"Uh, I-I'm just doing my best.",Morty,"Mm. Oh, Morty. What are you doing to me?",Jessica,"Wow. Well, okay, Jessica. L-let's give this a shot.",Morty,"Squeeze them. Manhandle them. Give them the business. See if you can shuffle them. I mean, really get in there and knock them around. No wrong answers.",Jessica
The glarp zone is for flarping and unglarping only.,The glarp zone is for flarping and unglarping only.,Announcer,We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them.,Principal Vagina,What kind of God lets this happen?,Summer,Summer?,Beth,"Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school.",Principal Vagina,"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",Jerry,I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?,Principal Vagina
"Oh, shit.","Well, Morty, I think you're making that smirky face because you're misinterpreting the moment. I am not being coy about some hidden love for you. I want to be really clear that, if anyone has a better guess, like, if I gave you an amulet last night, or...",Rick,I'll cover that bet. I get it.,Morty,But you're betting our lives on it.,Supernova,"Look, I... there's nothing in the room but us. I'm just using logic to connect some dots. It's the best guess I've got.",Rick,That is a... really specific guess.,Million Ants,"Hey, I don't know. I mean, look, when I get drunk, I get stupid and emotional and there's no logic to it. it's, like, possible I got so drunk, I felt like I was losing Morty to the Vindicators, and maybe this is my way of saying ""Okay, you can have him, but only if you know how important he is, otherwise I'll kill you.""",Rick,What?,Morty
"This is why you don't freeze time, you guys. It's incredibly irresponsible.Morty 1",Yes Beth.,Jerry,"Get the deer in the car, Jerry.",Beth,Oh God...,Jerry,Require different levels of skill to keep alive?,Beth,Well don't different animals-,Jerry,So...,Beth,"It's okay, this is just something that happens. And even if we were in a hospital, what could we do, you're a horse surgeon, not a deer surgeon.",Jerry
Understood.,"Actually, if you try to tell anyone what happened here, we’ll deny it and probably worse.",President,Sure thing! And I was kinda hoping that I could get a selfie with you?,Morty,"I hope I can call on you again if we need you, Morty.",President,We should go get him.,Beth,HEEEEELLLLPPPP!!!!!,Principal Vagina,"Yeah, it’s possible that we may have been correlating some things that weren’t actually related at all.",Jerry,Did he just say “musical reality show”?,Mr. Goldenfold
"Dude, Stay in your league! Look at how hot she is! You don't see me going to a bigger school, in a wealthier district and hittin' on their prettiest girl!","Well, I mean, I was thinking about it.",Morty,"Wait, wait, Were you about to talk... to her?",Brad,Ummm,Morty,What are you doing?,Brad,Ugghh,Morty,What's up Morty?,Jessica,"Ohhh. Okay, here we go.    H-Heyy Jessica, ughh.",Morty
"Oh, so you're the leader now because we gave you a jacket?! You're the learning-disabled kid we do photo-ops with!","Vance, stay calm...",Morty,"Like cool drinking! Like sexy drinking, not this psycho trailer-park shit!",Vance,"What part of ""blackout"" don't you understand? I thought you drank?",Rick,Why are you acting like that's not you?!,Vance,"Whoa, whoa, whoa. Hold on, Vance. He said you'd die if you tried to leave. That means there's booby traps.",Rick,Screw this. I'm not playing his game. I'm gonna find us a way out of here.,Vance,"Okay, here we go, room number one. The Vindicators are known throughout the galaxy, but do they know yourselves? Do you know yourselves? Match your... your shit, your... your gimmicks with your faces and y-you get it, it's a matching thing. And do it in three minutes, or you'll  all die.",Drunk Rick
We’ll take our chances raising her without fancy new jobs outside of a potato-based religion.  And you know what? I’m sick of pretending that we’re together because of the kids in the first place! I married you because you’re the love of my life!,"We’ve been waiting 16 years for our daughter to respect us, but the key is, it has to be “our” daughter, not this person she’s become.",Beth,I’m sorry?,Principal Vagina,Absolutely not.,Beth,"Thank you. This is all so overwhelming, but, uh… we can’t.",Jerry,That’s my dream! That’s my dream.,Beth,"Beth, we’d like to promote you from horse surgeon, straight past human surgeon, to “Head” of Medicine.",Principal Vagina,You… would?,Jerry
"Go in the waiting room, Dad.",What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest?,Rick,Is he going to die?,Summer,"Alright fine, but you're not touching my CRISPR.",Rick,You're overreacting!,Rick,Not anymore.,Beth,"I know this isn't the time, but, you know, technically the second freezer drawer is mine.",Rick,Why would you keep mutant bacteria in a pint of Cherry Garcia?,Beth
"Oh well, okay...","It's a, it's a rodent that mates for life, Morty. This is the chemical release in the mammal's brain,  ...that makes it fall in love. Alright Morty, I just gotta  combine it with some of your DNA.",Rick,"You're growing up fast, Morty. You're growing into a real big thorn straight up into my ass!  Listen, this is called oxytocin. I extracted it from a vole. You know what a VOLE is, Morty, you know what a vole is?",Rick,"YOU KNOW WHAT, NO RICK! I'M NOT GONNA HAND YOU THE SCREWDRIVER! Uh, I'm never gonna hand you anything ever again, Rick.  I'm always helping you with this and that and the other thing. Www...what about me, Rick? Www... why can't you just help me out once, once, for once?",Morty,"Morty, that's such a poor use of my time, it's beneath me. Hand me the screwdriver.",Rick,"Hey, listen, Rick. You know how you said that, you know... love is a chemical and all that stuff from earlier?  Well, I was thinkn', you know, www... could you make some sort of chemical thing happen inside of Jessica's mind, you know, so where she falls in love with me and all that sort of thing, you know, like maybe make some sort of love potion or something?",Morty,"Morty, hand me that screwdriver, huh?  I'm almost finished making my ionic defibulizer, Morty. It's gonna be great.",Rick,"Yeah, I'm just going to...check on your mom.",Jerry
BOO! NOT COOL!,Just launch the missiles!,Nathan,Call off the nuclear strike! This is the President. Stop the nuclear missile launch!,President,No! Stop that! You’re not allowed to interpret the will of the heads!,Principal Vagina,The heads love this! They love it when we DON’T kill the Smith family!,Mr. Goldenfold,Morty!,Rick,The heads are displeased!,Summer,I’m sure that has… that has nothing to do with this.,Principal Vagina
